RETSKU	PRODUCT TITLE	DETAILED DESCRIPTION	CATEGORIZATION	PRODUCT URL	PRIMARY IMAGE URL	SELLING PRICE	REGULAR PRICE	Condition	MANUFACTURER NAME	MANUFACTURER PART NUMBER	UPC / EAN	Availability	Color	Size	Material	Gender	Shipping
0771010PART	Bellwether Pro Mesh Cycling Jersey	"Bellwether Pro Mesh Jersey keeps a rider extremely comfortable due to the strategically placed mesh panels.  Quadra-Tec fabric wicks moisture to the outer surface for consistent body temperature regulation.  Micor-grid design allows for increased ventilat"	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0771010PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0771010PART.jpg	44.99	55	New	Bellwether	91183		Yes			Polyester                                         	male      	-1
0771011PART	Bellwether Fuel Cycling Jersey	"Bellwether Fuel Cycling Jersey.  Tectra-Lite favbric channels moisture to the fabric's outer surface to maintain consistent body temperature regulation.  Micropoly design allows for increased ventilation as well as elasticity for unsurpassed comfort and p"	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0771011PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0771011PART.jpg	54.99	65	New	Bellwether			Yes			Polyester                                         	male      	-1
0771017PART	Bellwether Ultralight Baggy Short	"Bellwether Ultralight Baggy Short. These shorts features casual on or off the bike looks in an extremely durable, light weight high performing package. Two deep side pockets with zippered closure. Gusseted panel design removes all unwanted seams underneat"	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0771017PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0771017PART.jpg	39.99	55	New	Bellwether			Yes					-1
0771018PART	Bellwether Escape Baggy Cycling Short	"Bellwether Escape Baggy Short. Designed not only to look good but to provide performance to the off-road cyclists who will accept nothing but the best. Tough outer shell is designed to transfer moisture while maintaining its bullet-proof durability. Gusse"	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0771018PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0771018PART.jpg	39.99	65	New	Bellwether			Yes					-1
0771019PART	Bellwether Strada Short	"Bellwether Strada Short. Premium performace and comfort in this modified 8-panel short. Fieldsensor's technically advanced multi-layered cross yarn fabric design effectively channels moisture to the garment's outer surface for maximum drying comfort while"	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0771019PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0771019PART.jpg	54.99	65	New	Bellwether			Yes					-1
0710042PART	Giordana Lazio Cycling Jersey	"""The Giordana Arts collection highlights selected regional flags of Italy.
The Lazio region in central Italy encompasses the city of Rome and is bordered on the west by the Thyrrenian sea."""	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0710042PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0710042PART.jpg	69.99	85	New	Giordana			Yes					-1
0710043PART	Giordana Toscana Cycling Jersey	"""The Giordana Arts collection highlights selected regional flags of Italy.
The Toscana region represents Tuscany and includes Florence and Pisa to name a few cities."""	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0710043PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0710043PART.jpg	59.99	84.99	New	Giordana			Yes					-1
0710047PART	Giordana Silverline Cycling Jersey	"The Giordana Silverline cycling jersey is all about looking sharp and keeping you comfortable, even on the long rides."	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0710047PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0710047PART.jpg	49.99	80	New	Giordana			Yes			Polyester                                         	male      	-1
0710048PART	Giordana Strada Cycling Jersey	"""Giordana Strada Cycling Jersey.  A multisport jersey.  Made of Miniquadro fabric.  Makes the jersey perfect for those really hot days.
Contrasting black collar and cuffs."""	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0710048PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0710048PART.jpg	34.99	45	New	Giordana			Yes					-1
0710049PART	Giordana Tenax Women's Cycling Jersey	"Giordana Tenax Woman's Cycling Jersey.  Giordana has worked hard to create a premium product to satisfy the unique comfort and performance needs of a women without neglecting the look.  Moovix material combines two types of fibers, nylon and DuPont Lycra,"	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0710049PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0710049PART.jpg	59.99	95	New	Giordana			Yes					-1
