code	name	description	price	product-url	merchant-site-category	image-url	manufacturer	classification	condition	size	color	SalePrice	MSRP	in-stock	availability	promo-text	shipping-price
0602091PART	Maxxis Minion DH Tire 26X2.5	Team Maxxis rider Colin Bailey Designed the Minion for his own use in the NORBA DH season. Directional ramped knobs come in both a front & rear specific tire.The DHF front tire incorporates ramped knobs for low rolling resistance and channel cut knobs to 	49.990000000000002	http://www.bicyclebuys.com/tires/TiresATB/0602091PART	Bicycles > ATB Tires > Mountain Tires	http://www.bicyclebuys.com/productimages/0602091.jpg	Maxxis	new	new			49.99	50	y	1,2		
0414459	Shimano SPD Cleat SM-SH51	Standard single release SPD cleat with "Easy step-in" feature for pedals: PD-M636, PD-M545, PD-M434, PD-M515, PD-M747, PD-A515, PD-M323.	18.989999999999998	http://www.bicyclebuys.com/pedals/PedalsMTB/0414459	Bicycles > Clipless Pedals > Mountain Clipless Pedals	http://www.bicyclebuys.com/productimages/0414459.jpg	Shimano	new	new			18.99	25	y	1,2		
0710203	Third Eye Bar End Mirror	Third Eye Bar End Mirror easily mounts into the end of a mountain or road handlebar and is securelely held.  Made of high impact material, this a must item for any rider.	11.99	http://www.bicyclebuys.com/accessories/Mirrors/0710203	Bicycles > Mirrors > Mirrors	http://www.bicyclebuys.com/productimages/0710203.jpg	Third Eye	new	new			11.99	15	y	1,2		
0790271PART	Sugoi RS Jersey	The Sugoi RS Jersey is a must-have for cyclists who want everything in one functional shirt. Made with Gobi and Vector Stretch fabric, the jersey features superior moisture management along with breathability and ventilation. The RS Jersey has superior ab	89.989999999999995	http://www.bicyclebuys.com/clothing/Jerseys/0790271PART	Bicycles > Jerseys > Jerseys	http://www.bicyclebuys.com/productimages/0790271PART.jpg	Sugoi	new	new			89.99	110	y	1,2		
0129948	Allen 532RR Bike Carrier 1-114-2 inch Hitch	Allen 532RR Bike Carrier carries up to 3 bicycles.  Will fir for 1 1/4" as well as 2" hitches.  Folds down for easy access to the rear of the vehicle.	89.989999999999995	http://www.bicyclebuys.com/carcarriers/CarrierHitch/0129948	Bicycles > Car Carriers > Hitch Carriers	http://www.bicyclebuys.com/productimages/0129948.jpg	Allen Sports	new	new			89.99	120	y	1,2		
0852056-2	Thule Hitch Adaptor 1 1/4" to 2 Inch	Thule Hitch Adaptor 1 1/4" to 2 Inch works with Thule Roadway and Ridgeline hitch racks.	20	http://www.bicyclebuys.com/carcarriers/CarrierHitch/0852056-2	Bicycles > Car Carriers > Hitch Carriers	http://www.bicyclebuys.com/productimages/0852056-2.jpg	Thule	new	new			20	25	y	1,2		
0114547PART	Fizik Seat Bag	Specifically designed for the Fizik clip in system.  Seat bag attaches to the seat.  Water resistant material and zipper.  Reflective safety patch.  Tail light holding strap.	16.989999999999998	http://www.bicyclebuys.com/seats/SeatRoad/0114547PART	Bicycles > Seats > Road Seats	http://www.bicyclebuys.com/productimages/0114547.jpg	Fizik	new	new			16.99	20	y	1,2		
0780030PART	Ryders Treviso Photochromic Sunglasses	Ryders Treviso Photochromic Sunglasses. Each PHOTOCHROMIC lens is infused with millions of organic molecules that react to UV light. When exposed to sunlight, the molecules change shape, absorbing sunlight and making the lens darker. When there is less su	64.989999999999995	http://www.bicyclebuys.com/clothing/Eyeglasses/0780030PART	Bicycles > Eyewear > Eyewear	http://www.bicyclebuys.com/productimages/0780030PART.jpg	Ryders Eyewear	new	new			64.99	70	y	1,2		
1736214	Park CM-5 Cyclone Chain Cleaner	Park CM-5 Cyclone Chain Cleaner.  The patented ChainMate Chain Scrubber is made with a tough plastic base material, uses an extra large solvent reservoir, and a series of rotating brushes to get chains really clean. A magnet at the bottom of the Cyclone’s	24.989999999999998	http://www.bicyclebuys.com/maintenance/DrivetrainTools/1736214	Bicycles > Tools > Drivetrain Tools	http://www.bicyclebuys.com/productimages/1736214.jpg	Park	new	new			24.99	30	y	1,2		
1736216	Park Professional Cable Cutter CN-10	An updated version of our popular CN-2 Cable Cutter, the CN-4 has a better feel, a stronger spring, and a redesigned head that cuts both cable and housing (including index housing) quickly and cleanly.	25.989999999999998	http://www.bicyclebuys.com/maintenance/BrakeTools/1736216	Bicycles > Tools > Brake Tools	http://www.bicyclebuys.com/productimages/1736216.jpg	Park	new	new			25.99	30	y	1,2		
