RETSKU	PRODUCT TITLE	DETAILED DESCRIPTION	CATEGORIZATION	PRODUCT URL	PRIMARY IMAGE URL	SELLING PRICE	REGULAR PRICE	Condition	MANUFACTURER NAME	MANUFACTURER PART NUMBER	UPC / EAN	Availability	Color	Size	Material	Gender	Shipping
0119796	Topeak MTX Dry Trunk Bag (TT9803B)	"Topeak MTX Trunk Bag.   A QuickTrack™ compatible TrunkBag featuring DryBag technology. 300 denier and 600 denier waterproof polyester with sonically welded seams, a drybag roll top closure and weather-tight zippers keep contents dry while rigid EVA foam p"	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/0119796#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0119796.jpg	74.99	90	New	Topeak	TT9803B	768661118655	Yes					-1
0119797	Topeak Handlebar DryBag (TT9805B) w/Fixer	"Topeak Handlebar DryBag is a full featured handlebar bag utilizing DryBag technology to keep contents dry. Rigid EVA foam and divided main compartment provides shape and insulation against road shock and vibration. Waterproof 300 denier and 600 denier pol"	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/0119797#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0119797.jpg	69.99	80	New	Topeak	TT9805B	768661119140	Yes					-1
0119671	Topeak Chopper Basket (TB2006)	"Topeak Chopper Basket is perfect for shopping or running quick errands by bicycle. Made of soft fabric, this basket features a sturdy aluminum frame with engineering grade plastic handle for easy carrying. Handy QuickClick™ mount attaches basket to handle"	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/0119671#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0119671.jpg	69.99	85	New	Topeak	TB2006	768661119485	Yes					-1
0104665	Topeak Panoram V16 (TPC-13) Wireless Computer	"Topeak Panoram V16 is a sixteen function wireless cycling computer including cadence. Wide screen format keeps important info visible without pushing buttons."	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/0104665#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0104665.jpg	89.99	130	New	Topeak	TPC-13	768661118679	Yes			Plastic                                           	unisex    	-1
1729975PART	OnGuard Beast Chain Lock 110/160cm x 14mm	"OnGuard Beast Chain Lock has 14mm Titanium reinforced hexagonal steel chain.  Water and heat resistant embroidered chain cover with velcro closures.  X4 Quattro Bolt locking mechanism.  16.8mm Ultra hardened steel shackle.  Pick, Pull and Drill resistant "	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/1729975PART#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/1729975PART.jpg	89.99	130	New	ONGuard			Yes			Steel                                             	unisex    	-1
1729976	OnGuard Beast Chain LPT 110CM x 11MM Hex (45005017LP)	"OnGuard Beast Chain LPT has 11mm Titanium reinforced hexagonal steel chain.  Water and heat resistant embroidered chain cover with velcro closures.  X2 Double Bolt locking mechanism.  Pick, Pull and Drill resistant M-Cylinder featuring BumpBlok with rotat"	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/1729976#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/1729976.jpg	59.99	104.95	New	ONGuard	45005017LP	768661251154	Yes					-1
1729977	OnGuard Mastiff Chain Loop 70CM x 10MM (5019LP)	"OnGuard Mastiff Chain Loop has a 10mm Titanium enforced Hexagonal  hardened chain.  Cinch loop design for effective tie up.  Anti -Theft protection offer.  Water and heat resistant embroidered chain cover with velcro closures.  X4 Quattro Bolt locking mec"	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/1729977#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/1729977.jpg	59.99	100	New	ONGuard	45005019LP		Yes					-1
1729978	OnGuard Beast Chain HD 160CM x 11MM (5018HD)	"OnGuard Beast Chain Lock has 11mm Titanium reinforced hexagonal steel chain.  Water and heat resistant embroidered chain cover with velcro closures.  X4 Quattro Bolt locking mechanism.  13mm Ultra hardened steel shackle.  Pick, Pull and Drill resistant M-"	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/1729978#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/1729978.jpg	79.99	104.95	New	ONGuard	45005018HD		Yes					-1
0509330PART	Easton Havoc Gray Wheelset	"Somehow Easton pulled a full 150-grams out of last years Havoc, but added a full 1-mm to the rim width and added UST compatibility. Easton has redesigned, tweaked and tuned pretty much every part on the Havoc including an even more durable hubset. High-en"	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/0509330PART#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0509330PART.jpg	719.99	945	New	Easton			Yes					-1
0900267	Selle Royal Women's Respiro Soft Relaxed Xsenium Saddle	"Selle Royal Women's Respiro Soft Relaxed Xsenium Comfort Saddle is dedicated to the demanding cyclist. In hot weather, when leaving a bike in the sun or riding for a long period of time, a saddle can increase in temperature. Rising above the rider's skin "	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/0900267#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0900267.jpg	60	60	New	Selle Royal	5132deta19166		Yes					-1
